Obligation ID,Obligation,Regulator,Legal Basis / Source,Frequency,Owner Dept,Submission Channel,Due Rule,Next Due Date,Penalty / Consequence,Criticality,Evidence Required,Control Owner,Status
OBL-001,Monthly solvency monitoring report,ISA / MOF,Insurance Law / MOF guidance,Monthly,Finance,e-Portal + hard copy,10th working day,2026-06-20,Regulatory reminder / inspection focus,Critical,"Signed report, calculation file, management approval",Regulatory Affairs,Open
OBL-002,Quarterly capital adequacy report,MOF,Insurance supervisory reporting rules,Quarterly,Finance / Risk,Hard copy + official letter,Quarter end + 15 days,2026-07-15,High regulatory concern if delayed,Critical,"Actuary sign-off, Finance review, Compliance review",Finance,Open
OBL-003,New product filing / approval dossier,ISA,Product approval requirements,Ad-hoc,Product / Legal,Hard copy one-stop desk,Before launch,2026-06-28,Product launch delay,High,"Product wording, pricing note, disclosure, legal opinion",Product,In Progress
OBL-004,Agent training program registration,ISA,Agency management regulation,Ad-hoc,Agency / Distribution,Hard copy,Before training roll-out,2026-06-18,Training delay / distribution impact,Medium,"Training materials, trainer list, timetable",Agency,Open
OBL-005,AML periodic update,SBV / MOF,AML regulatory framework,Quarterly,Compliance,e-Portal,Quarter end + 20 days,2026-07-20,Compliance finding,High,"AML statistics, suspicious transaction controls",Compliance,Open
OBL-006,Personal data processing compliance update,MIC / MPS,Personal data protection decree,Annual / Ad-hoc,IT / Legal,Official letter,Upon request / annual refresh,2026-08-05,Data privacy remediation order,High,"DPIA, consent process, data inventory",Legal,Monitoring
OBL-007,Consumer complaint handling report,MOF / ISA,Market conduct supervision,Monthly,Customer Service,Email + hard copy,5th working day,2026-06-15,Market conduct scrutiny,High,"Complaint log, resolution SLA, root-cause analysis",Customer Service,Open
OBL-008,Bancassurance conduct update,MOF / ISA / SBV,Bancassurance supervision guidance,Ad-hoc,Partnership Distribution,Working group / letter,Upon regulator request,2026-07-02,Distribution channel restriction risk,High,"Sales scripts, training evidence, bank partner data",Distribution,Open
OBL-009,ESG disclosure readiness,MOF,ESG disclosure roadmap,Annual,Strategy / Finance,Regional pack + local submission,Annual planning cycle,2026-09-30,Reputation / regional reporting gap,Medium,"ESG KPI, governance note, investment policy summary",Strategy,Monitoring
OBL-010,Regulator meeting minutes and action tracking,MOF / ISA / IAV,Internal PA operating standard,After each meeting,Regulatory & PA,Internal archive,2 working days after meeting,2026-06-13,Loss of institutional memory,Medium,"Minutes, action log, owner confirmation",Regulatory Affairs,Open
