Month,Stakeholder,Meeting Frequency Score,Response Timeliness Score,Open Issue Score,Engagement Quality Score,Overall Health Score
2026-01,MOF,4.0,4.1,3.6,4.0,79
2026-02,MOF,4.2,4.2,3.8,4.1,82
2026-03,MOF,4.3,4.3,3.9,4.2,84
2026-04,MOF,4.4,4.4,4.0,4.3,86
2026-05,MOF,4.5,4.5,4.1,4.4,88
2026-06,MOF,4.6,4.5,4.2,4.5,89
2026-01,ISA,4.2,4.0,3.5,4.1,80
2026-02,ISA,4.3,4.1,3.6,4.2,82
2026-03,ISA,4.4,4.2,3.8,4.3,84
2026-04,ISA,4.5,4.3,3.9,4.4,86
2026-05,ISA,4.6,4.4,4.0,4.5,88
2026-06,ISA,4.7,4.5,4.1,4.6,90
2026-01,IAV,3.6,3.8,3.9,3.8,76
2026-02,IAV,3.7,3.9,4.0,3.9,78
2026-03,IAV,3.8,4.0,4.0,4.0,79
2026-04,IAV,3.9,4.1,4.1,4.1,81
2026-05,IAV,4.0,4.1,4.2,4.2,82
2026-06,IAV,4.1,4.2,4.2,4.3,84
